“Good Fighters” and “Great Negotiators”: Donald Trump Is Weirdly Full of Praise for the Taliban, 3 hours ago, In April 2020, as the coronavirus was engulfing the U.S., then president Donald Trump declared at his then daily coronavirus briefing,..., https://www.vanityfair.com/news/2021/08/donald-trump-taliban-good-fighters-great-negotiators  
Trump: US 'humiliated' over Afghan withdrawal, 2 hours ago, When Biden announced he would stick to Trump's plan to withdraw U.S. troops from Afghanistan, Republican reaction was mixed and largely muted., https://www.marca.com/en/lifestyle/us-news/2021/08/18/611d6736e2704e82078b456c.html  
Trump 'fully supported' Afghanistan withdrawal, John Bolton says, 1 day ago, Bolton was Trump's national security advisor from 2018 to 2019. Trump criticized Biden over Afghanistan, but Bolton said Trump "fully supported"..., https://www.businessinsider.com/trump-fully-supported-afghanistan-withdrawal-john-bolton-says-2021-8  
LD16 Flashpoint: Former Trump Com. Dir. Spicer to Join Pappas for ..., 5 hours ago, Sean Spicer, who served as communications director and press secretary for President Donald Trump, will campaign with fellow Republican Mike..., https://www.insidernj.com/ld16-flashpoint-former-trump-com-dir-spicer-join-pappas-campaign-event/  
New York charges former Kushner associate with cyberstalking months after Trump pardon, 58 mins ago, Federal prosecutors had charged Kurson, former editor of a Kushner-owned publication, with cyberstalking but President Trump pardoned him on..., https://www.nbcnews.com/politics/donald-trump/new-york-charges-former-kushner-associate-cyberstalking-months-after-trump-n1277106  
Fox host Maria Bartiromo goads Trump into bashing coronavirus ..., 5 hours ago, It's also the day in which a Fox Business Network host tried hard to goad former president Donald Trump into questioning that effort — and..., https://www.washingtonpost.com/politics/2021/08/18/trump-went-fox-promoted-vaccines-then-host-goaded-him-into-bashing-boosters/  
Democrats plan to greet Trump with ‘Welcome to Alabama, Liar’ billboards, 11 hours ago, A top official with the Alabama Democratic Party says former President Trump's rally in Cullman on Saturday night is a bad idea because of..., https://www.al.com/news/2021/08/democrats-plan-to-greet-trump-with-welcome-to-alabama-liar-billboards.html  
Ex-defense secretary: Trump's push to get US troops out of Afghanistan possibly 'undermined' deal with Taliban, 11 hours ago, Former Defense Secretary Mark Esper said Tuesday that he was concerned that then-President Donald Trump “undermined” the US'$2 2020..., https://www.cnn.com/2021/08/17/politics/mark-esper-donald-trump-taliban-afghanistan-cnntv/index.html  
Does Trump’s endorsement really carry the day in local elections?, 1 day ago, Analysis: Trump thought he'd use the midterm primaries to punish his enemies and tighten his grip on the party. It's not working out quite..., https://www.theguardian.com/us-news/2021/aug/17/donald-trump-influence-local-midterm-elections  
Jeffrey Toobin under fire for column urging Trump escape prosecution, 2 hours ago, CNN's Jeffrey Toobin has been slammed for writing an opinion column arguing that former president Donald Trump should not face criminal..., https://www.independent.co.uk/news/world/americas/us-politics/cnn-jeffrey-toobin-column-trump-b1904895.html  
“Good Fighters” and “Great Negotiators”: Donald Trump Is Weirdly Full of Praise for the Taliban, 4 hours ago, In April 2020 as the coronavirus was engulfing the U.S. then president Donald Trump declared at his then daily coronavirus briefing..., https://www.vanityfair.com/news/2021/08/donald-trump-taliban-good-fighters-great-negotiators  
Trump: US 'humiliated' over Afghan withdrawal, 2 hours ago, When Biden announced he would stick to Trump's plan to withdraw U.S. troops from Afghanistan Republican reaction was mixed and largely muted., https://www.marca.com/en/lifestyle/us-news/2021/08/18/611d6736e2704e82078b456c.html  
Trump 'fully supported' Afghanistan withdrawal John Bolton says, 1 day ago, Bolton was Trump's national security advisor from 2018 to 2019. Trump criticized Biden over Afghanistan but Bolton said Trump "fully supported"..., https://www.businessinsider.com/trump-fully-supported-afghanistan-withdrawal-john-bolton-says-2021-8  
LD16 Flashpoint: Former Trump Com. Dir. Spicer to Join Pappas for ..., 5 hours ago, Sean Spicer who served as communications director and press secretary for President Donald Trump will campaign with fellow Republican Mike..., https://www.insidernj.com/ld16-flashpoint-former-trump-com-dir-spicer-join-pappas-campaign-event/  
Ken Kurson Who Was Pardoned by Trump Faces Charges in New York, 1 hour ago, The editor Ken Kurson a close friend of Mr. Trump's son-in-law Jared Kushner was charged in state criminal court in Manhattan on Wednesday..., https://www.nytimes.com/2021/08/18/nyregion/ken-kurson-charged-trump-kushner.html  
